No.	NAME	Me	O%	Psi_i_A	Psi_e_A	MPC10	X4Av	VR1_D/Dt	J_Dz(e)	J_Dz(i)	VE1sign_B(m)	VE2sign_B(m)	SpPosA_B(e)	VE1sign_B(e)	VE2sign_B(e)	VE1sign_B(i)	VE2sign_B(i)	AVS_B(s)	ChiA_B(s)	SpPosA_B(s)	SpMAD_B(s)	SM3_B(s)	SM4_B(s)	SM5_B(s)	SM6_B(s)	ATSC2s	MATS8m	MATS8e	MATS8s	SpMax2_Bh(s)	P_VSA_LogP_2	P_VSA_LogP_4	P_VSA_LogP_5	P_VSA_m_3	P_VSA_v_2	P_VSA_e_5	P_VSA_p_2	P_VSA_ppp_A	Eta_epsi_A	Eta_L_A	Eta_FL_A	SM08_AEA(dm)	SM09_AEA(dm)	SM09_AEA(ri)	SM10_AEA(ri)	Eig14_EA	Eig15_EA	Eig14_EA(ed)	Eig15_EA(ed)	Eig14_EA(bo)	Eig15_EA(bo)	Eig02_EA(dm)	Eig15_EA(dm)	Eig14_EA(ri)	Eig15_EA(ri)	Eig14_AEA(bo)	Eig14_AEA(dm)	Eig15_AEA(dm)	Eig14_AEA(ri)	Eig15_AEA(ri)	PJI3	VE1sign_G	VE1sign_RG	TDB01s	TDB02s	TDB03s	TDB04s	Mor06m	Mor06v	Mor28v	Mor03p	Mor28p	Mor06s	Mor14s	Mor21s	Mor31s	G1u	G3u	G1m	G1v	G1e	G1p	G1i	G3i	G1s	Gu	Gm	R5m	R5m+	R4p	R5p	nCconj	nRCOOR	nROR	nO(C=O)2	nCH2RX	C-015	C-018	C-040	O-059	O-060	SdCH2	SdssC	NdCH2	NdssC	B02[O-O]	B05[O-Cl]	F02[O-O]	F05[O-Cl]	Qmean	Q2	LDI	TPSA(NO)	SAacc	CATS3D_04_AA	Molecule	U	V
29	*****	0.965	0.0	2.500	8.000	0.000	0.000		2.7321	2.7321	0.000	0.000	1.297	0.000	0.000	0.000	0.000	4.516	0.221	2.500	1.664	5.023	6.451	7.898	9.356	4.960	0.000	0.000	0.000	4.376	31.534	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.460	0.162	0.317	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.606	0.000	0.003	4.355	5.935	7.315	8.015	0.029	-0.222	-0.080	0.185	-0.095	-2.845	0.847	-0.404	0.438	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.002	0.000	0.119	0.034	4	0	0	0	0	2	0	0	0	0	6.722	0.000	2	0	0	0	0	0	0.067	0.048	0.103	0.000	0.000	0	Butadiene-1-carboxylate,ethyl.mol2	-2.57	0.92
30	*****	1.004	10.0	2.717	8.217	0.000	0.052		3.9775	3.8753	0.212	0.021	1.365	0.213	0.021	0.231	0.023	4.915	0.212	2.742	1.914	6.519	8.325	10.208	12.141	18.350	-0.202	0.096	0.032	4.863	27.301	32.336	11.000	36.145	36.145	36.145	36.145	36.145	0.577	0.203	0.277	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.881	0.093	0.263	4.816	9.034	10.730	16.055	0.393	0.110	-0.123	-0.201	-0.154	-5.061	0.468	-0.431	0.839	0.188	1.000	0.188	0.188	0.219	0.219	0.188	1.000	0.188	0.353	0.328	0.098	0.028	0.210	0.164	5	1	0	0	0	1	1	1	0	1	3.234	-0.409	1	1	1	0	1	0	0.099	0.424	0.179	26.300	36.145	0	butadiene.mol2	-0.30	0.40
31	*****	0.982	0.0	1.978	7.478	3.761	0.041	16.582	2.7808	2.8532	0.000	0.000	1.386	0.000	0.000	0.000	0.000	4.774	0.207	2.101	1.707	6.052	7.458	8.892	10.352	7.472	1.357	0.760	1.103	4.642	24.814	0.000	7.045	0.000	1.899	0.000	1.899	1.899	0.546	0.187	0.307	-1.885	-1.891	-5.289	-5.451	-1.885	-1.891	-5.289	-5.451	-2.795	-2.837	0.000	0.000	-1.772	-1.867	-0.391	-1.869	-1.891	-0.906	-0.956	0.710	0.014	0.126	4.039	6.532	8.404	11.194	0.365	-0.177	0.042	-1.305	0.009	-3.417	-1.100	-0.417	0.098	0.175	0.372	0.175	0.175	0.175	0.198	0.175	0.219	0.175	0.243	0.209	0.272	0.028	0.497	0.516	1	0	0	0	0	1	1	0	0	0	3.866	0.000	1	0	0	0	0	0	0.063	0.179	0.103	4.930	0.000	0	Carbazole,N-vinyl.mol2	-0.25	-0.58
32	*****	0.985	0.0	2.417	7.917	0.000	0.054	9.620	2.7982	2.8035	0.071	0.007	1.370	0.071	0.007	0.076	0.008	4.943	0.211	2.483	1.858	6.277	8.003	9.800	11.644	3.417	-1.381	-2.833	-2.579	4.776	0.000	16.602	34.245	0.000	31.059	0.000	31.059	31.059	0.559	0.161	0.332	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.790	0.160	0.031	4.805	7.414	9.003	11.378	0.400	0.070	0.128	-0.667	0.121	-4.036	1.338	-1.585	0.442	0.197	1.000	0.197	0.197	0.197	0.197	0.197	1.000	0.197	0.420	0.338	0.116	0.025	0.251	0.182	2	0	0	0	0	0	0	1	0	0	0.000	0.000	0	0	0	0	0	0	0.065	0.094	0.075	23.790	31.059	0	Cinnamonitrile.mol2	-2.74	-0.41
33	*****	1.040	15.4	3.167	8.667	0.000	0.040	7.606	3.1676	3.3165	0.131	0.016	1.406	0.132	0.016	0.148	0.019	5.557	0.198	3.201	2.358	6.835	8.776	10.750	12.741	17.111	0.000	0.000	0.000	7.408	3.124	59.699	0.000	50.290	53.414	50.290	53.414	53.414	0.695	0.187	0.278	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.635	0.035	0.304	5.322	10.545	18.221	29.060	-0.687	-0.514	-0.130	-0.201	-0.144	-7.321	-0.806	-0.907	0.474	0.242	1.000	0.242	0.213	0.213	0.242	0.242	1.000	0.242	0.372	0.388	0.003	0.001	0.292	0.060	4	0	0	0	0	0	0	2	0	0	0.000	-0.481	0	2	0	0	0	0	0.120	0.338	0.227	39.070	53.414	1	citraconimide,N-metyl	-2.77	0.59
34	*****	0.998	9.1	3.000	8.500	0.000	0.079		2.9996	2.9768	0.138	0.028	1.342	0.138	0.028	0.146	0.029	5.014	0.219	3.002	2.144	6.191	8.112	10.076	12.062	8.248	0.000	0.000	0.000	4.361	0.000	48.340	0.000	25.145	25.145	25.145	25.145	25.145	0.552	0.200	0.282	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.715	0.091	0.269	4.751	7.127	9.436	14.148	-0.033	-0.160	-0.016	-0.016	-0.041	-3.590	1.464	-0.251	0.572	0.224	1.000	0.224	0.224	0.224	0.224	0.224	1.000	0.224	0.369	0.369	0.027	0.009	0.176	0.075	3	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0.082	0.139	0.119	17.070	25.145	0	Crotonaldehyde.mol2	-2.33	-1.17
35	*****	1.020	15.0	3.050	8.550	0.000	0.057		4.7178	4.6145	0.219	0.022	1.370	0.220	0.022	0.236	0.024	5.206	0.204	3.107	2.181	6.908	8.822	10.779	12.759	27.292	0.000	0.000	0.000	7.414	0.000	62.615	14.185	61.290	61.290	61.290	61.290	61.290	0.615	0.220	0.243	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.277	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.655	0.121	0.169	4.854	8.922	14.807	25.154	0.531	0.247	-0.007	-0.209	-0.064	0.212	0.366	-1.226	0.580	0.188	0.219	0.188	0.188	0.188	0.188	0.188	0.188	0.188	0.208	0.198	0.179	0.042	0.308	0.305	4	1	0	0	0	0	0	1	0	1	0.000	-0.744	0	3	1	0	1	0	0.112	0.550	0.187	43.370	61.290	1	Crotonate,a-acetyl,methyl.mol2	-2.74	0.43
36	*****	1.022	11.1	2.827	8.327	0.000	0.062		4.2404	4.0728	0.128	0.014	1.349	0.042	0.005	0.051	0.006	4.884	0.215	2.869	1.902	6.497	8.317	10.209	12.145	21.305	0.667	0.378	0.366	4.802	4.592	35.837	11.000	36.145	36.145	36.145	36.145	36.145	0.623	0.268	0.201	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.972	0.065	0.162	4.667	8.729	14.487	17.964	0.991	-0.008	-0.034	-0.197	-0.080	-0.980	-0.514	-0.615	-0.260	0.193	0.608	0.193	0.193	0.193	0.193	0.193	0.608	0.193	0.283	0.283	0.182	0.092	0.270	0.200	3	1	0	0	0	0	0	1	0	1	0.000	-0.321	0	2	1	0	1	0	0.102	0.447	0.191	26.300	36.145	0	Crotonate,a-chloro,ethyl.mol2	-2.38	-0.71
37	*****	1.004	11.1	2.708	8.208	0.000	0.065		3.7668	3.6258	0.253	0.032	1.336	0.253	0.032	0.269	0.034	4.746	0.223	2.727	1.865	6.362	8.214	10.135	12.094	20.129	0.771	0.281	0.284	4.513	4.592	32.336	11.000	36.145	36.145	36.145	36.145	36.145	0.563	0.259	0.217	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.960	0.052	0.162	4.191	7.911	9.119	15.658	-0.130	-0.449	-0.035	0.057	-0.069	-5.397	0.203	-0.125	0.021	0.193	1.000	0.193	0.193	0.193	0.193	0.230	1.000	0.193	0.372	0.319	0.071	0.012	0.184	0.138	3	1	0	0	0	0	0	1	0	1	0.000	-0.269	0	1	1	0	1	0	0.096	0.423	0.183	26.300	36.145	0	Crotonate,ethyl.mol2	-1.96	-1.43
38	*****	1.025	16.7	3.444	8.944	0.000	0.071		3.5115	3.4460	0.307	0.051	1.393	0.307	0.051	0.325	0.054	5.491	0.202	3.462	2.402	6.587	8.484	10.413	12.362	27.593	0.000	0.000	0.000	6.351	0.000	68.738	0.000	67.828	67.828	67.828	67.828	67.828	0.628	0.202	0.259	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.941	0.094	0.276	5.511	13.215	12.200	17.026	-0.137	-0.179	-0.023	-0.100	-0.035	-8.314	-0.674	1.119	-0.729	0.218	1.000	0.218	0.218	0.218	0.218	0.218	1.000	0.218	0.362	0.362	0.049	0.010	0.170	0.091	3	0	0	0	0	0	0	1	0	0	0.000	-0.891	0	1	1	0	1	0	0.142	0.503	0.273	37.300	67.828	0	Crotonicacid.mol2	-2.03	1.30
39	*****	1.015	12.5	2.704	8.204	2.565	0.039	17.660	3.1939	3.1026	0.000	0.000	1.376	0.000	0.000	0.000	0.000	5.097	0.208	2.751	2.027	7.164	8.989	10.883	12.822	34.558	-0.092	-0.025	0.099	7.427	40.719	64.673	28.371	72.290	72.290	72.290	72.290	72.290	0.621	0.205	0.278	-1.573	-1.613	-3.648	-3.659	-1.573	-1.613	-3.648	-3.659	-2.000	-2.000	1.727	-0.636	-1.536	-1.541	-0.263	-1.040	-1.045	-0.568	-0.621	0.800	0.000	0.058	4.849	9.351	11.626	18.336	0.101	-0.512	-0.035	-0.875	-0.083	-6.162	-0.533	0.176	1.991	1.000	0.516	1.000	1.000	1.000	1.000	1.000	0.516	1.000	0.441	0.441	0.376	0.056	0.356	0.282	2	0	0	0	0	2	0	2	0	2	6.889	-1.165	2	2	1	0	2	0	0.120	0.898	0.205	52.600	72.290	0	diallylphthalate.mol2	-0.77	1.35
40	*****	0.973	0.0	2.000	7.500	2.565	0.052	14.697	2.3486	2.3486	0.024	0.002	1.339	0.024	0.002	0.024	0.002	4.612	0.215	2.098	1.683	5.951	7.332	8.741	10.173	7.249	0.129	0.129	0.107	4.688	15.767	0.000	9.557	0.000	0.000	0.000	0.000	0.000	0.515	0.176	0.315	-2.000	-2.000	-4.789	-6.734	-2.000	-2.000	-4.789	-6.734	-3.000	-3.000	0.000	0.000	-2.000	-2.000	-0.500	-2.000	-2.000	-1.000	-1.000	0.747	0.000	0.122	3.948	6.357	7.948	10.254	1.081	0.316	0.163	-1.170	0.151	-3.555	1.068	-1.011	0.750	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.583	0.583	0.215	0.020	0.515	0.445	2	0	0	0	0	1	0	0	0	0	4.095	1.075	1	1	0	0	0	0	0.056	0.088	0.065	0.000	0.000	0	ethylene,diphenyl.mol2	-0.74	0.23
41	*****	1.177	0.0	3.296	8.796	0.000	0.000		4.3417	4.0675	0.000	0.000	1.401	0.000	0.000	0.000	0.000	5.238	0.190	3.346	1.644	5.972	7.501	9.049	10.611	6.639	0.000	0.000	0.000	4.658	0.000	0.000	7.631	0.000	0.000	0.000	0.000	0.000	1.157	0.293	0.147	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.605	0.000	0.000	10.274	28.875	63.945	0.000	2.535	0.782	-0.114	-0.911	-0.135	5.594	-1.682	0.310	0.375	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0.000	-0.198	0	2	0	0	0	0	0.091	0.055	0.163	0.000	0.000	0	ethylene,terrachloro.mol2	-2.60	-2.36
42	*****	1.123	0.0	3.200	8.700	0.000	0.000		3.6942	3.4678	0.148	0.030	1.395	0.241	0.048	0.250	0.050	5.088	0.198	3.210	1.652	5.731	7.253	8.795	10.351	9.734	0.000	0.000	0.000	4.530	9.791	0.000	3.816	0.000	0.000	0.000	0.000	0.000	0.976	0.290	0.164	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.595	0.064	0.149	8.881	20.947	38.852	0.000	1.582	0.496	-0.010	-0.619	-0.007	3.461	-1.196	0.060	0.244	0.279	1.000	0.279	0.456	0.456	0.456	0.279	1.000	0.279	0.427	0.427	0.000	0.000	0.000	0.000	0	0	0	0	0	0	1	0	0	0	0.000	0.090	0	1	0	0	0	0	0.076	0.039	0.125	0.000	0.000	0	ethylene,trichloro.mol2	-2.60	-2.36
43	*****	0.961	0.0	3.000	8.500	0.000	0.000	0.816	2.0000	2.0000	0.000	0.000	1.257	0.000	0.000	0.000	0.000	4.514	0.222	3.000	1.514	4.567	6.043	7.541	9.045	4.444	0.000	0.000	0.000	2.874	31.534	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.433	0.167	0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.459	0.000	0.000	5.010	4.843	2.768	0.000	-0.018	-0.178	-0.050	0.324	-0.059	-2.157	0.655	0.117	0.511	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000	0	0	0	0	0	2	0	0	0	0	6.000	0.000	2	0	0	0	0	0	0.071	0.034	0.127	0.000	0.000	0	ethylene.mol2	-1.57	-1.23
44	*****	1.025	16.7	2.944	8.444	0.000	0.052		4.1984	4.0460	0.000	0.000	1.359	0.000	0.000	0.000	0.000	5.061	0.215	2.963	2.065	6.978	8.864	10.804	12.774	33.131	-1.013	-0.862	-0.723	7.427	9.185	64.673	22.000	72.290	72.290	72.290	72.290	72.290	0.628	0.254	0.221	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.820	0.000	0.012	4.660	9.685	10.655	18.687	-0.682	-0.980	0.165	0.021	0.126	-9.886	-2.003	0.168	-0.675	0.647	1.000	0.545	0.545	0.545	0.647	0.647	1.000	0.647	0.579	0.537	0.162	0.054	0.191	0.137	4	2	0	0	0	0	0	2	0	2	0.000	-1.073	0	2	1	0	2	0	0.123	0.821	0.226	52.600	72.290	2	Fumarate,diethyl.mol2	-4.05	0.56
45	*****	1.013	13.3	2.786	8.286	0.000	0.049		4.4273	4.2615	0.000	0.000	1.362	0.000	0.000	0.000	0.000	4.917	0.214	2.818	1.946	7.011	8.881	10.814	12.779	38.111	-1.060	-1.114	-0.958	7.427	0.000	64.673	22.000	72.290	72.290	72.290	72.290	72.290	0.589	0.273	0.185	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.819	0.000	0.002	4.230	8.594	9.732	13.359	-0.347	-0.612	0.030	-0.451	-0.043	-8.265	-1.581	-1.267	0.938	1.000	0.169	1.000	1.000	1.000	1.000	1.000	0.169	1.000	0.553	0.553	0.172	0.037	0.335	0.192	4	2	0	0	0	0	0	2	0	2	0.000	-1.082	0	2	1	0	2	0	0.101	0.815	0.198	52.600	72.290	2	Fumarate,diisopropyl.mol2	-4.31	0.17
46	*****	1.059	0.0	2.844	8.344	0.000	0.102		4.8092	4.6936	0.113	0.011	1.392	0.192	0.019	0.201	0.020	5.000	0.200	2.907	1.732	6.250	7.752	9.275	10.813	15.841	0.000	0.000	0.000	4.840	15.767	7.001	3.816	0.000	0.000	0.000	0.000	0.000	0.782	0.240	0.219	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.873	0.130	0.157	6.563	12.889	21.092	25.460	3.368	1.141	-0.098	-1.613	-0.111	6.644	-0.448	-1.130	0.098	0.208	1.000	0.208	0.208	0.208	0.208	0.208	1.000	0.208	0.378	0.351	0.277	0.096	0.433	0.213	6	0	0	0	0	1	0	0	0	0	3.414	0.353	1	3	0	0	0	0	0.073	0.080	0.113	0.000	0.000	0	Hexatriene,tetrachloro.mol2	-2.39	0.86
47	*****	1.064	26.7	3.944	9.444	0.000	0.043		4.0085	3.9401	0.151	0.017	1.437	0.150	0.017	0.140	0.016	6.116	0.186	3.990	2.620	7.244	9.160	11.099	13.052	69.990	0.000	0.000	0.000	7.469	18.301	137.476	3.186	135.657	135.657	135.657	135.657	135.657	0.744	0.190	0.259	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.437	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.679	0.032	0.239	6.812	17.829	18.960	22.468	-0.407	-0.233	-0.034	-0.323	-0.031	-12.169	-2.789	1.853	-0.084	0.204	0.250	0.204	0.250	0.204	0.204	0.204	0.204	0.204	0.218	0.204	0.550	0.161	0.375	0.187	3	0	0	0	0	1	0	2	0	0	3.014	-2.748	1	3	1	0	2	0	0.206	0.987	0.381	74.600	135.657	3	iitaconicacid.mol2	-2.50	0.54
48	*****	1.062	25.0	3.375	8.875	0.000	0.035	7.635	3.1131	3.0065	0.112	0.014	1.433	0.111	0.014	0.079	0.010	5.766	0.193	3.421	2.430	6.893	8.818	10.780	12.761	35.993	0.000	0.000	0.000	7.409	18.301	64.673	14.185	61.290	61.290	61.290	61.290	61.290	0.758	0.195	0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.438	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.610	0.041	0.299	6.018	13.575	20.102	34.643	-0.726	-0.356	-0.007	-0.442	-0.020	-7.614	-1.265	0.680	-0.483	0.218	1.000	0.218	0.218	0.218	0.218	0.218	1.000	0.218	0.394	0.362	0.011	0.006	0.217	0.017	3	2	0	1	0	1	0	2	0	1	3.290	-0.843	1	3	1	0	2	0	0.162	0.518	0.305	43.370	61.290	1	iitaconicanhydride.mol2	-2.51	0.83
